Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:29:25,VEHICLE_COUNT,SOUTH,,4,2,2,0,False,,
2026-01-30 19:29:25,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:29:25,VEHICLE_COUNT,WEST,,9,4,5,0,False,,
2026-01-30 19:29:30,VEHICLE_COUNT,NORTH,,7,7,0,0,True,,
2026-01-30 19:29:30,VEHICLE_COUNT,SOUTH,,10,9,1,0,True,,
2026-01-30 19:29:30,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:29:31,VEHICLE_COUNT,WEST,,4,4,0,0,False,,
2026-01-30 19:29:36,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:29:36,VEHICLE_COUNT,WEST,,12,9,3,0,False,,
2026-01-30 19:29:41,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:29:41,VEHICLE_COUNT,WEST,,9,8,1,0,False,,
2026-01-30 19:30:35,VEHICLE_COUNT,NORTH,,13,11,2,0,True,,
2026-01-30 19:30:35,VEHICLE_COUNT,SOUTH,,8,6,2,0,False,,
2026-01-30 19:30:36,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:30:36,VEHICLE_COUNT,WEST,,8,4,4,0,False,,
2026-01-30 19:30:42,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:30:42,VEHICLE_COUNT,WEST,,8,7,1,0,False,,
2026-01-30 19:30:48,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:30:48,VEHICLE_COUNT,WEST,,2,2,0,0,False,,
2026-01-30 19:30:54,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:30:54,VEHICLE_COUNT,WEST,,5,5,0,0,False,,
2026-01-30 19:30:59,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:31:00,VEHICLE_COUNT,WEST,,3,1,2,0,True,,
2026-01-30 19:31:05,VEHICLE_COUNT,SOUTH,,7,6,1,0,False,,
2026-01-30 19:31:06,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:31:06,VEHICLE_COUNT,WEST,,6,5,1,0,True,,
2026-01-30 19:31:11,VEHICLE_COUNT,SOUTH,,7,7,0,0,False,,
2026-01-30 19:31:12,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:31:12,VEHICLE_COUNT,WEST,,2,2,0,0,False,,
2026-01-30 19:31:18,VEHICLE_COUNT,NORTH,,7,5,2,0,True,,
2026-01-30 19:31:19,VEHICLE_COUNT,SOUTH,,4,2,2,0,True,,
2026-01-30 19:31:20,VEHICLE_COUNT,NORTH,,11,11,0,0,True,,
2026-01-30 19:31:20,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:31:20,VEHICLE_COUNT,WEST,,11,10,1,0,False,,
2026-01-30 19:31:20,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:31:22,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:31:25,VEHICLE_COUNT,WEST,,6,4,2,0,False,,
2026-01-30 19:31:25,VEHICLE_COUNT,SOUTH,,7,6,1,0,True,,
2026-01-30 19:31:25,VEHICLE_COUNT,NORTH,,8,8,0,0,True,,
2026-01-30 19:31:25,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:31:25,VEHICLE_COUNT,WEST,,12,10,2,0,False,,
2026-01-30 19:31:30,VEHICLE_COUNT,WEST,,4,2,2,0,False,,
2026-01-30 19:31:31,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:31:33,VEHICLE_COUNT,WEST,,5,3,2,0,False,,
2026-01-30 19:31:35,VEHICLE_COUNT,NORTH,,7,7,0,0,True,,
2026-01-30 19:31:36,VEHICLE_COUNT,EAST,,3,2,1,0,False,,
2026-01-30 19:31:36,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:31:40,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:31:41,VEHICLE_COUNT,WEST,,7,4,3,0,False,,
2026-01-30 19:31:42,VEHICLE_COUNT,WEST,,7,3,4,0,False,,
2026-01-30 19:31:46,VEHICLE_COUNT,SOUTH,,2,1,1,0,False,,
2026-01-30 19:31:46,VEHICLE_COUNT,NORTH,,7,6,1,0,True,,
2026-01-30 19:31:46,VEHICLE_COUNT,EAST,,3,2,1,0,False,,
2026-01-30 19:31:46,VEHICLE_COUNT,WEST,,6,4,2,0,False,,
2026-01-30 19:31:47,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:31:48,SIGNAL_CHANGE,EAST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:31:49,VEHICLE_COUNT,WEST,,2,1,1,0,False,,
2026-01-30 19:31:50,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:31:50,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:31:51,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:31:51,VEHICLE_COUNT,WEST,,13,8,5,0,False,,
2026-01-30 19:31:55,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:31:57,VEHICLE_COUNT,NORTH,,8,6,2,0,True,,
2026-01-30 19:31:57,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:31:57,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:31:57,VEHICLE_COUNT,WEST,,4,2,2,0,False,,
2026-01-30 19:31:57,SIGNAL_CHANGE,EAST,GREEN,,,,,False,87.5,Maximum time reached
2026-01-30 19:32:02,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:02,VEHICLE_COUNT,SOUTH,,6,3,3,0,True,,
2026-01-30 19:32:02,VEHICLE_COUNT,NORTH,,5,5,0,0,True,,
2026-01-30 19:32:02,VEHICLE_COUNT,EAST,,6,6,0,0,False,,
2026-01-30 19:32:02,VEHICLE_COUNT,WEST,,7,5,2,0,False,,
2026-01-30 19:32:02,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:04,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:32:04,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:05,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:06,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:32:06,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:06,SIGNAL_CHANGE,EAST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:07,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:07,VEHICLE_COUNT,WEST,,3,1,2,0,False,,
